component,issue_name,,290T434,290T484,290T503,290T530,290T532,290T543,290T577,290T658,290T762,337X045,337X233,337X305,337X330,337X336,337X369,337X393,337X708,337X709,337X758,338X408,338X424,338X425,338X426,338X427,338X713,338X714,338X722,338X724,338X765,761X004
Rotor,EW support blocking migration (end winding),,L OR N/A,Heavy,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,"MTS leaves cracking/distortion
(Main Terminal Stud aka goose neck)",,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,"MTS/bore copper contact
(Main Terminal Stud aka goose neck)",,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Heavy,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,Pole to pole connector cracking/distortion,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,Coil to coil connection cracking/distortion,,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,EW distortion,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,Retaining ring insulation damage,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Rotor,Contamination,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light OR Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A
Rotor,FOD (Foreign Object Damage),,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,DC leakage,,Light,Heavy,Light,Light,No Data,Light,Light,Light,Medium,No Data,Light,Light,Medium OR High,No Data,No Data,Light,Light,Medium,Heavy,Light,Heavy,Heavy,Heavy,Light,Medium,Medium,No Data,No Data,Medium,No Data
Stator,"DC Hipot  (Optional/rare, and Secondary to DC Leakage)",,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,Light,L OR N/A,Light,Medium,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Heavy,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,"IR, PI",,Light,Light,Light,L OR N/A,L OR N/A,Light,Light,Light,Light,L OR N/A,Light,Light,L OR N/A,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light,Light
Stator,Winding resistance,,Light,Light,Light,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,L OR N/A,Light,Light,L OR N/A,L OR N/A,L OR N/A,Light,Light,Light,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light,Light
Stator,Slot Corona Activity  (Can see in end of slots only) ,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,End winding Corona Activity ,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A
Stator,Dusting or Greasing at the ends of the stator slots.,,Medium,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,Medium,L OR N/A,L OR N/A,Medium,Medium,Medium,Medium,Light,Medium,L OR N/A,Light,Medium,Medium,Medium,Medium,L OR N/A,L OR N/A,Medium
Stator,Connection Ring (CR) dusting or greasing ,,L OR N/A,L OR N/A,Heavy,Medium,Medium,Medium,L OR N/A,L OR N/A,L OR N/A,Heavy,L OR N/A,L OR N/A,Light,L OR N/A,Light,Medium,L OR N/A,L OR N/A,Medium,light,Medium,Heavy,Light,Heavy,L OR N/A,L OR N/A,Medium,Medium,L OR N/A,Heavy
Stator,End Winding (EW) dusting or greasing,,Medium,L OR N/A,Medium,Heavy,L OR N/A,L OR N/A,Heavy,L OR N/A,Light,Light,Medium,Medium,Light,L OR N/A,L OR N/A,Medium,Medium,Medium,L OR N/A,Medium,Medium,L OR N/A,Light,Medium,Medium,Medium,Medium,Medium,Medium,Heavy
Stator,Oil ingress,,Medium,L OR N/A,Light,Light,L OR N/A,L OR N/A,Heavy,Light,Light,L OR N/A,Medium,Medium,Medium,L OR N/A,Light,Heavy,Medium,Medium,Medium,Medium,Medium,L OR N/A,Medium,Medium,Medium,Medium,Medium,L OR N/A,Light,Medium
Stator,Stator slot wedge tightness,,Light,Light,Light,L OR N/A,L OR N/A,L OR N/A,Light,Heavy,Light,Light,Light,Light,Heavy,L OR N/A,L OR N/A,Light,Medium,Light,Light,Light,Light,L OR N/A,Light,L OR N/A,Light,L OR N/A,Light,Light,Light,Heavy
Stator,"Winding Connection Failure 
(Phase Connection /Series Loop)",,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,"Stator core looseness (or low tightness, not tight)",,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Light,Light,L OR N/A,Medium,Heavy,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Heavy,L OR N/A
Stator,High Stator Bar Temps,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,Ventilation duct blocking,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,Stator core burning,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,Shorted Strand in stator bar,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,Reversed fan blades,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,Stator Frame Vibrations,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,Noisy during operation (Unit noisy) or Red Oxide Dust inside core,,L OR N/A,Light,L OR N/A,L OR N/A,Medium,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A,Medium,Light,L OR N/A,L OR N/A,Light,L OR N/A,Light,L OR N/A,L OR N/A,Light,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,Light
Stator,Inside Space Block (ISSB) or Outside Space Block (OSSB) migration,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A
Stator,Contamination,,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A
Stator,Foreign Object Damage (FOD),,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,L OR N/A,Medium,L OR N/A,Medium,L OR N/A,L OR N/A,L OR N/A,L OR N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
